Datum,Uhrzeit,Ort,Google Maps Link
11.11.2021,9.00h,Sögel Aula des Hümmling Gymnasiums,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Sögel Aula des Hümmling Gymnasiums, Schlaunallee 10, 49751 Sögel"
12.11.2021,9.00h,Sögel Aula des Hümmling Gymnasiums,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Sögel Aula des Hümmling Gymnasiums, Schlaunallee 10, 49751 Sögel"
19.12.2021,15.00h,Steinhagen Realschule,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Steinhagen Realschule, Laukshof 1, 33803 Steinhagen (Westf)"
06.03.2022,15.00h,Leverkusen KulturStadtLev - Forum,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Leverkusen KulturStadtLev - Forum, Am Büchelter Hof 9, 51373 Leverkusen"
07.03.2022,9.30h,Leverkusen KulturStadtLev - Forum,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Leverkusen KulturStadtLev - Forum, Am Büchelter Hof 9, 51373 Leverkusen"
07.03.2022,11.30h,Leverkusen KulturStadtLev - Forum,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Leverkusen KulturStadtLev - Forum, Am Büchelter Hof 9, 51373 Leverkusen"
31.03.2022,15.00h,Nettetal Seerosensaal,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Nettetal Seerosensaal, Steegerstraße 38, 41334 Nettetal"
22.05.2022,15.00h,Rüsselsheim Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rüsselsheim Theater, Am Treff 1, 65428 Rüsselsheim"
23.05.2022,10.00h,Rüsselsheim Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rüsselsheim Theater, Am Treff 1, 65428 Rüsselsheim"
24.05.2022,10.00h,Rüsselsheim Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rüsselsheim Theater, Am Treff 1, 65428 Rüsselsheim"
25.05.2022,10.00h,Rüsselsheim Theater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rüsselsheim Theater, Am Treff 1, 65428 Rüsselsheim"
06.09.2022,16.00h,Gummersbach Halle 32,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Gummersbach Halle 32, Steinmüllerallee 10, 51643 Gummersbach"
09.09.2022,11.00h,Versmold Kulturbühne,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Versmold Kulturbühne, Schulstraße 14, 33775 Versmold"
23.10.2022,11.00h,Gladbeck Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Gladbeck Stadthalle, Friedrichstr. 53, 45964 Gladbeck"
07.12.2022,10.00h,Viersen Festhalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Viersen Festhalle, Hermann-Hülser-Platz 1, 41747 Viersen"
31.12.2022,16.30h,Solingen Theater und Konzerthaus,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Solingen Theater und Konzerthaus, Konrad-Adenauer-Straße 71, 42651 Solingen"
01.03.2023,16.00h,Rheinberg Stadthalle,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Rheinberg Stadthalle, Kirchplatz 10, 47495 Rheinberg"
26.03.2023,15.00h,Monheim Aula am Berliner Ring,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Monheim Aula am Berliner Ring, Berliner Ring 8, 40789 Monheim am Rhein"
16.04.2023,15.00h,Uelzen Theater an der Ilmenau,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Uelzen Theater an der Ilmenau, Greyerstraße 3, 29525 Uelzen"
18.06.2023,16.00h,Aschaffenburg Stadttheater,"https://maps.google.com/?output=embed&f=q&source=s_q&hl=de&geocode=&iwloc=near&q=Aschaffenburg Stadttheater, Schlossgasse 8, 63739 Aschaffenburg"
